player,team,position,age,PPR_raw,PPR,pos_rank,overall_rank,games_played,games_started,pass_completion,pass_attempt,pass_yards,pass_td,interception,rush_attempt,rush_yards,rush_yards_per_attempt,rush_td,rec_target,rec,rec_yards,yards_per_reception,rec_td,fumble,fumble_lost,total_td,tpc,tpp
Malik Nabers*,NYG,WR,21,273.6,273.60,8,37,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,7,1,
Bo Nix,DEN,QB,24,317.2,298.54,7,38,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2,1,3,0,5,,
Jalen Hurts,PHI,QB,26,315.1,315.10,8,39,15,15,248,361,2903,18,5,150,630,4.2,14,0,0,0,,0,9,5,14,,
CeeDee Lamb*,DAL,WR,25,263.4,263.40,9,40,15,15,0,0,0,0,0,14,70,5,0,152,101,1194,11.82,6,1,1,6,1,
Sam LaPorta,DET,TE,23,174.6,174.60,6,41,16,16,0,0,0,0,0,0,0,,0,83,60,726,12.1,7,0,0,7,,
Courtland Sutton,DEN,WR,29,240.3,226.16,10,42,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,
Ladd McConkey,LAC,WR,23,240.9,240.90,11,43,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,7,1,
Tucker Kraft,GNB,TE,24,163.3,153.69,7,44,17,17,0,0,0,0,0,3,6,2,0,70,50,707,14.14,7,1,1,7,1,
Zach Ertz,WAS,TE,34,177.4,166.96,8,45,17,17,0,0,0,0,0,0,0,,0,91,66,654,9.91,7,1,0,7,2,
Davante Adams,2TM,WR,32,241.3,241.30,12,46,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,8,1,
Sam Darnold*,MIN,QB,27,308,289.88,9,47,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,,0,8,4,1,,
Jameson Williams,DET,WR,23,212.2,212.20,13,48,15,11,0,0,0,0,0,11,61,5.55,1,91,58,1001,17.26,7,0,0,8,,
D'Andre Swift,CHI,RB,25,214.5,201.88,19,49,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,6,1,
Jaxon Smith-Njigba*,SEA,WR,22,253,238.12,14,50,17,16,1,1,35,0,0,5,26,5.2,0,137,100,1130,11.3,6,1,0,6,,
Jerry Jeudy*,CLE,WR,25,240.9,226.73,15,51,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,4,2,
